x,y,z,Bx,By,Bz,mdotB
-0.25,-0.25,-0.25,-8.9791695804985531e-07,-4.104763236799339e-07,-8.9791695804985531e-07,-4.3354406046624435e-08
-0.194444444444,-0.25,-0.25,-9.0823792669630828e-07,-6.4366128501168454e-07,-1.167734477180968e-06,-6.7983343001892094e-08
-0.138888888889,-0.25,-0.25,-8.0590388539982358e-07,-9.0193010497233171e-07,-1.4506269937196825e-06,-9.526163079538562e-08
-0.0833333333333,-0.25,-0.25,-5.6508536616103331e-07,-1.1337585759167402e-06,-1.6952560984830998e-06,-1.1974729557718432e-07
-0.0277777777778,-0.25,-0.25,-2.0440115224213488e-07,-1.2735597718536401e-06,-1.8396103701792132e-06,-1.3451306272330133e-07
0.0277777777778,-0.25,-0.25,2.0440115224213488e-07,-1.2735597718536401e-06,-1.8396103701792132e-06,-1.3451306272330133e-07
0.0833333333333,-0.25,-0.25,5.650853661610332e-07,-1.1337585759167402e-06,-1.6952560984830998e-06,-1.1974729557718432e-07
0.138888888889,-0.25,-0.25,8.0590388539982337e-07,-9.0193010497233171e-07,-1.4506269937196825e-06,-9.526163079538562e-08
0.194444444444,-0.25,-0.25,9.0823792669630881e-07,-6.4366128501168517e-07,-1.1677344771809687e-06,-6.798334300189216e-08
0.25,-0.25,-0.25,8.9791695804985531e-07,-4.104763236799339e-07,-8.9791695804985531e-07,-4.3354406046624435e-08
-0.25,-0.194444444444,-0.25,-1.1164004950809366e-06,-2.4465632093457842e-07,-1.1164004950809366e-06,-2.5840539070754434e-08
-0.194444444444,-0.194444444444,-0.25,-1.183927686785815e-06,-5.0378090966914834e-07,-1.5221927401531907e-06,-5.320921294687035e-08
-0.138888888889,-0.194444444444,-0.25,-1.0975309768988828e-06,-8.1948979608449904e-07,-1.9755557584179887e-06,-8.655430610954294e-08
-0.0833333333333,-0.194444444444,-0.25,-7.9650604157440461e-07,-1.1247934373260355e-06,-2.3895181247232139e-06,-1.1880039989452677e-07
-0.0277777777778,-0.194444444444,-0.25,-2.9367181711221427e-07,-1.318013891140101e-06,-2.6430463540099278e-06,-1.3920829561934795e-07
0.0277777777778,-0.194444444444,-0.25,2.9367181711221427e-07,-1.318013891140101e-06,-2.6430463540099278e-06,-1.3920829561934795e-07
0.0833333333333,-0.194444444444,-0.25,7.9650604157440429e-07,-1.1247934373260355e-06,-2.3895181247232139e-06,-1.1880039989452677e-07
0.138888888889,-0.194444444444,-0.25,1.0975309768988822e-06,-8.1948979608449904e-07,-1.9755557584179887e-06,-8.655430610954294e-08
0.194444444444,-0.194444444444,-0.25,1.1839276867858148e-06,-5.0378090966914834e-07,-1.5221927401531907e-06,-5.320921294687035e-08
0.25,-0.194444444444,-0.25,1.1164004950809366e-06,-2.4465632093457842e-07,-1.1164004950809366e-06,-2.5840539070754434e-08
-0.25,-0.138888888889,-0.25,-1.3204398516294962e-06,8.0068015120341572e-08,-1.3204398516294962e-06,8.4567636149004212e-09
-0.194444444444,-0.138888888889,-0.25,-1.4784533108936278e-06,-1.4669924325146083e-07,-1.9008685425775212e-06,-1.549433716819091e-08
-0.138888888889,-0.138888888889,-0.25,-1.444116152170062e-06,-4.692817759610005e-07,-2.5994090739061112e-06,-4.9565423123304101e-08
-0.0833333333333,-0.138888888889,-0.25,-1.093574973988624e-06,-8.1834447665918734e-07,-3.2807249219658711e-06,-8.6433337759960947e-08
-0.0277777777778,-0.138888888889,-0.25,-4.1308461099730494e-07,-1.0554471921295473e-06,-3.7177614989757427e-06,-1.114760669217885e-07
0.0277777777778,-0.138888888889,-0.25,4.1308461099730494e-07,-1.0554471921295473e-06,-3.7177614989757427e-06,-1.114760669217885e-07
0.0833333333333,-0.138888888889,-0.25,1.0935749739886236e-06,-8.1834447665918734e-07,-3.2807249219658711e-06,-8.6433337759960947e-08
0.138888888889,-0.138888888889,-0.25,1.4441161521700614e-06,-4.692817759610005e-07,-2.5994090739061112e-06,-4.9565423123304101e-08
0.194444444444,-0.138888888889,-0.25,1.4784533108936273e-06,-1.4669924325146083e-07,-1.9008685425775212e-06,-1.549433716819091e-08
0.25,-0.138888888889,-0.25,1.3204398516294962e-06,8.0068015120341572e-08,-1.3204398516294962e-06,8.4567636149004212e-09
-0.25,-0.0833333333333,-0.25,-1.4305846263283123e-06,6.0113455005310888e-07,-1.4305846263283123e-06,6.3491679953699102e-08
-0.194444444444,-0.0833333333333,-0.25,-1.6986014992937372e-06,5.2551249848279502e-07,-2.1839162133776621e-06,5.5504497890514902e-08
-0.138888888889,-0.0833333333333,-0.25,-1.7601469598161087e-06,3.3567247072048548e-07,-3.1682645276689951e-06,3.5453641914891757e-08
-0.0833333333333,-0.0833333333333,-0.25,-1.4013537998590329e-06,6.7944426659831863e-08,-4.2040613995770975e-06,7.1762732515416085e-09
-0.0277777777778,-0.0833333333333,-0.25,-5.4511646405402968e-07,-1.4095940888669856e-07,-4.9060481764862642e-06,-1.4888097306511801e-08
0.0277777777778,-0.0833333333333,-0.25,5.4511646405402968e-07,-1.4095940888669856e-07,-4.9060481764862642e-06,-1.4888097306511801e-08
0.0833333333333,-0.0833333333333,-0.25,1.4013537998590323e-06,6.7944426659831863e-08,-4.2040613995770975e-06,7.1762732515416085e-09
0.138888888889,-0.0833333333333,-0.25,1.7601469598161079e-06,3.3567247072048548e-07,-3.1682645276689951e-06,3.5453641914891757e-08
0.194444444444,-0.0833333333333,-0.25,1.6986014992937381e-06,5.2551249848279481e-07,-2.1839162133776634e-06,5.5504497890514876e-08
